model,rmse,mae,r2
LinearRegression,9.796475901624362,7.745559243921435,0.6275531792314848
RandomForest,5.464119974899132,3.748395761095701,0.884131609184953
GradientBoosting,5.495130485022774,4.1387488895936455,0.8828127018449111
XGBoost,4.606305197630194,2.996374957538346,0.9176563827108167
